,x_pix,y_pix,amplitude,vlsr,sigma_v,labelsDBSCAN
10969,123.0,124.0,5.721833914885055,9.26925128673571,0.1143166841386585,-1
10970,124.0,124.0,5.647305365353187,9.24463284480445,0.118064609170704,-1
10971,129.0,124.0,6.211760479235324,9.161709581204336,0.13100332486588304,4
10972,130.0,124.0,5.976437977896692,9.15671368632597,0.11527488581857644,4
10973,150.0,124.0,2.493453523997137,10.653921287435235,0.2058867126141312,3
10974,193.0,124.0,2.653076936570094,8.85246895162214,0.10211863454110218,-1
10975,194.0,124.0,2.5557253571926295,8.909351793778637,0.14597753591429086,-1
10976,195.0,124.0,2.508673402117035,8.959637778217855,0.1884537412712032,-1
10977,99.0,125.0,6.362400524168678,9.886758568955758,0.1430599476404627,0
10978,119.0,125.0,5.360275848676526,9.399849626663897,0.12759428816542173,-1
10979,120.0,125.0,6.134535941730485,9.352439943240151,0.13814659290650452,-1
10980,122.0,125.0,6.634955470605445,9.28137049252818,0.13458499526220272,-1
10981,123.0,125.0,6.451013674109504,9.258786838831435,0.12115186589086045,-1
10982,124.0,125.0,6.078703092499325,9.239412040276244,0.12928028732969618,-1
10983,129.0,125.0,5.995067044989158,9.173771446965752,0.14585436079002984,-1
10984,145.0,125.0,2.3539063316048154,9.467823415777831,0.09049789459106032,-1
10985,193.0,125.0,2.563676736052711,8.843738792468415,0.10934468134334556,-1
10986,194.0,125.0,2.438771595308694,8.904999429681508,0.15433214710844576,-1
10987,195.0,125.0,2.635798852671545,8.963629960981185,0.20287981703032903,-1
10988,196.0,125.0,3.218434429467073,9.103603061863481,0.12202090485284703,-1
10989,197.0,125.0,3.6667888215623115,9.137357237629502,0.08197966189391115,-1
10990,61.0,126.0,2.44999095074316,9.102757738476868,0.1113390391354631,-1
10991,62.0,126.0,2.599667071092202,9.10691864223592,0.13915783325172898,-1
10992,98.0,126.0,6.385241676414843,9.886754644950779,0.14166391056176186,0
10993,99.0,126.0,6.426470049282113,9.87688491696667,0.1278156841052793,0
10994,118.0,126.0,5.809964994515227,9.426212098895471,0.1338280094917994,-1
10995,119.0,126.0,5.330218950431144,9.395407210015325,0.12831603005434195,-1
10996,123.0,126.0,7.279278094090165,9.246012412570371,0.1262635832614083,-1
10997,124.0,126.0,6.7912955446160845,9.231206133888874,0.1405910978170018,-1
10998,133.0,126.0,5.3450363618289405,9.28930313555837,0.28883515146413125,-1
10999,143.0,126.0,3.0647185585648122,9.345086081469619,0.15502212162080964,-1
11000,144.0,126.0,3.0302705896798288,9.420068007171146,0.13404049978945853,-1
11001,145.0,126.0,3.1472629013283115,9.474052581018077,0.10130837509490154,-1
11002,150.0,126.0,2.317569073410727,10.75747826801541,0.1441054291032121,3
11003,196.0,126.0,4.029221173296004,9.13477105751366,0.09421981927123611,-1
11004,61.0,127.0,3.1507817236858187,9.116873597729173,0.09558505879476123,-1
11005,62.0,127.0,3.259642221794257,9.11243045447141,0.1178082172995218,-1
11006,63.0,127.0,2.8009217795049413,9.115127591309747,0.14271027326753713,-1
11007,98.0,127.0,6.536263122416658,9.887806655003851,0.13647255230710004,0
11008,99.0,127.0,6.500651973038025,9.873633933295858,0.12476119057280911,0
11009,100.0,127.0,6.560747634012966,9.87601255249586,0.12889932358689216,0
11010,110.0,127.0,8.46707657447326,9.93454330497839,0.12312522256776219,0
11011,118.0,127.0,5.811940213229177,9.417191924814679,0.12452368707831958,-1
11012,119.0,127.0,10.843265977411175,9.432978382825231,0.19553545466247418,-1
11013,120.0,127.0,10.450554818821647,9.402736138065432,0.22418039466941406,-1
11014,123.0,127.0,8.007835933453453,9.232868351794064,0.12698400805571233,-1
11015,124.0,127.0,7.535845910629519,9.22207257311426,0.1369532482224447,-1
11016,132.0,127.0,5.72450953984938,9.298504802904631,0.30803933712484743,-1
11017,142.0,127.0,3.531517272010248,9.278041356863163,0.14596060052176454,-1
11018,143.0,127.0,3.6617848186046276,9.3288536920202,0.16487827772948993,-1
11019,144.0,127.0,3.703949860466121,9.399914341643033,0.17187946906949156,-1
11020,145.0,127.0,3.4698681083266427,9.465279657471612,0.1027978251926806,-1
11021,62.0,128.0,3.66643272167885,9.109570154459037,0.10682577517742606,-1
11022,63.0,128.0,3.149874829958973,9.105928197427808,0.1241921865788318,-1
11023,64.0,128.0,2.383544735774427,9.107535438395496,0.14788571259801533,-1
11024,98.0,128.0,6.943076093832844,9.894160777081717,0.13610575661006194,0
11025,99.0,128.0,6.606022331637439,9.875990441744959,0.12413020006072466,0
11026,110.0,128.0,8.637889889905956,9.944534680511067,0.11581982805120526,0
11027,116.0,128.0,4.0554662122758725,9.388427138868062,0.09286321133845697,-1
11028,117.0,128.0,5.938330348805579,9.411195564022902,0.12149486293582647,-1
11029,118.0,128.0,5.67648843447207,9.414109456521802,0.1171771852636149,-1
11030,119.0,128.0,11.228910316275101,9.441386204800926,0.21173080508063857,-1
11031,120.0,128.0,10.602412929256888,9.410463019909646,0.24500790318365812,-1
11032,123.0,128.0,8.482013346502512,9.219935202646687,0.12463611750446643,-1
11033,124.0,128.0,8.13498119020666,9.213356376492547,0.12688906187089627,-1
11034,142.0,128.0,3.8217250002863272,9.245508442722455,0.16190853553683104,-1
11035,143.0,128.0,3.9246137656449633,9.28963990161502,0.19886652494291002,-1
